price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
944,15,2,0.04,3,365,0
3042,1,0,,1,177,0
1000,1,1,0.02,1,365,0
270,2,17,0.26,3,0,0
974,1,5,0.09,1,365,1
385,2,53,0.84,1,109,0
500,1,0,,1,365,0
430,1,88,1.33,5,303,12
310,1,27,0.41,3,17,0
270,1,33,0.5,5,318,1
808,2,2,0.04,1,178,0
365,2,28,0.42,4,364,4
771,1,5,0.08,1,89,0
350,1,0,,2,364,0
650,2,26,0.59,1,112,0
650,2,19,0.29,3,365,0
304,2,84,1.28,3,262,3
366,3,1,0.26,3,192,1
680,2,7,0.11,3,365,0
522,2,183,2.77,1,84,45
1350,1,0,,3,364,0
750,2,0,,4,337,0
350,1,58,0.88,3,70,1
507,1,7,0.11,1,173,0
2322,1,11,0.21,2,360,1
600,4,41,0.74,2,179,5
350,5,8,0.17,1,139,3
558,2,0,,1,364,0
690,1,2,0.03,1,87,0
479,2,2,0.04,2,362,0
4000,1,0,,1,90,0
500,5,45,0.7,2,226,5
365,1,396,5.94,6,354,13
1777,1,3,0.05,1,363,0
300,1,1,0.02,1,88,0
1200,2,82,1.28,1,0,0
600,4,26,0.41,2,80,1
750,2,2,0.03,4,178,0
464,3,10,0.16,1,0,0
620,1,16,0.25,7,136,2
409,3,30,0.46,6,364,18
600,1,12,0.2,2,90,0
427,1,3,0.05,2,324,0
600,30,1,0.02,1,90,0
207,3,3,0.57,1,357,3
620,1,17,0.26,3,0,0
390,1,195,2.95,5,343,52
460,1,116,1.81,1,78,0
479,7,1,0.02,1,365,0
514,1,18,0.27,1,172,0
500,1,197,3,1,336,41
1600,2,1,0.02,1,365,0
280,1,495,7.63,1,342,89
400,3,7,0.11,2,364,1
300,1,116,1.77,2,179,2
845,1,22,0.34,2,359,4
390,1,244,3.68,5,352,38
200,1,4,0.06,1,0,0
300,7,12,0.19,3,358,1
350,1,13,0.21,1,2,0
500,2,1,0.02,1,178,0
235,1,17,0.27,3,337,0
201,5,1,0.02,1,360,0
220,1,42,0.64,1,231,1
3000,1,6,0.1,11,356,1
300,2,5,0.17,2,359,2
200,7,0,,1,83,0
1199,1,0,,15,356,0
1014,1,0,,1,365,0
710,1,1,0.02,2,365,0
1399,1,1,0.02,15,356,0
400,5,8,0.12,1,347,3
710,1,1,0.02,1,179,0
1499,1,5,0.08,8,354,0
400,5,101,1.57,2,144,21
281,2,56,0.87,4,165,18
742,1,18,0.37,8,354,7
424,5,153,2.66,1,18,0
899,1,6,0.11,8,354,0
600,2,27,2,2,358,24
430,1,28,0.47,1,365,0
1849,1,7,0.12,8,355,0
2350,1,7,0.11,1,365,6
379,2,6,0.11,1,232,0
550,1,86,1.35,1,171,1
913,1,2,0.03,2,364,0
635,1,1,0.03,2,89,0
2700,1,4,0.06,11,338,0
275,1,32,0.49,5,318,1
300,3,0,,1,313,0
1599,1,3,0.05,15,356,0
500,3,177,2.72,1,313,8
600,3,28,0.43,3,177,0
207,3,24,0.37,3,351,10
450,5,28,0.43,2,15,0
974,3,4,0.06,1,364,0
454,2,247,3.8,4,297,52
385,1,0,,1,364,0
446,2,0,,1,364,0
375,2,42,0.64,1,108,0
727,3,4,0.12,2,25,0
399,1,104,2.42,3,203,4
300,2,16,0.3,3,239,3
250,2,16,0.25,3,293,3
414,1,2,0.03,1,365,0
1000,1,14,0.22,2,90,1
2500,3,30,0.47,1,179,0
320,1,80,1.26,1,294,0
365,4,41,0.64,1,100,9
700,1,81,1.25,28,176,5
265,2,31,0.48,1,171,0
200,1,31,0.48,1,171,0
786,1,2,0.03,1,364,0
767,2,46,0.73,3,329,4
20057,1,2,0.03,1,179,0
707,1,4,0.07,1,179,1
446,2,145,2.25,1,109,12
222,3,5,0.08,1,52,1
500,2,2,0.04,1,158,0
275,1,32,0.49,5,318,9
1250,1,5,0.08,2,180,1
545,1,46,0.72,6,286,7
4039,1,0,,1,180,0
950,2,54,0.85,5,351,9
3000,1,4,0.07,11,359,2
2700,1,11,0.18,11,338,1
350,2,26,0.41,1,365,4
450,1,181,2.85,1,306,17
3000,1,10,0.15,11,350,0
355,7,11,0.18,2,139,3
530,2,0,,1,0,0
715,21,49,0.78,1,316,7
1221,3,29,0.45,2,358,19
480,2,74,1.21,1,130,12
300,1,47,0.74,2,202,0
600,1,80,1.23,28,171,6
350,1,3,0.05,1,180,0
206,30,2,0.08,2,323,1
500,2,90,1.4,8,0,36
250,2,0,,2,365,0
710,2,1,0.02,1,178,0
657,1,115,1.78,28,145,23
1350,1,2,0.03,11,365,1
757,1,15,0.23,12,284,5
300,2,0,,1,90,0
1350,1,1,0.13,11,365,1
1350,1,4,0.08,11,364,3
500,1,5,0.08,2,365,0
385,2,1,0.02,1,365,0
329,1,9,0.15,2,166,5
700,2,3,0.05,1,64,0
373,1,40,0.63,18,0,19
424,2,96,1.49,4,81,7
360,3,2,0.04,5,365,0
450,1,0,,1,365,0
489,2,40,0.66,1,45,1
400,2,21,0.33,1,365,4
400,1,46,0.73,4,172,0
463,2,252,3.95,4,1,2
586,1,88,1.36,28,167,15
564,1,110,1.71,28,174,30
1000,1,6,0.09,1,293,0
364,2,8,0.12,1,364,0
543,1,91,1.41,28,175,6
500,3,13,0.28,1,351,6
805,2,204,3.18,3,330,53
600,1,3,0.09,1,365,0
350,90,73,1.13,1,180,0
900,2,33,0.52,1,365,4
470,3,49,0.78,2,44,0
330,1,4,0.06,1,18,0
505,3,3,0.05,1,365,0
850,1,0,,1,365,0
669,4,34,0.55,1,49,19
450,1,27,0.45,2,171,0
329,2,99,1.59,1,143,34
400,2,3,0.05,1,175,0
1300,1,0,,1,180,0
300,2,72,1.15,3,356,5
315,15,15,0.25,3,193,3
577,1,45,0.73,12,280,9
500,1,5,0.08,12,288,2
2521,5,2,0.04,3,362,0
811,1,17,0.3,1,76,0
300,2,158,2.49,1,180,25
408,2,68,1.22,1,359,20
361,2,111,1.75,3,106,13
250,1,4,0.14,1,106,0
300,2,30,0.48,2,25,0
450,1,0,,1,365,0
679,2,18,0.29,1,61,3
507,2,0,,1,364,0
260,2,92,1.46,2,309,19
599,1,21,0.35,4,325,0
260,2,70,1.11,2,293,18
400,2,95,1.53,1,163,13
750,2,0,,4,178,0
358,5,3,0.45,2,139,3
290,1,25,0.39,1,293,20
231,1,31,0.5,3,364,7
350,1,48,0.79,5,293,0
8113,1,0,,1,365,0
355,2,5,0.08,1,87,0
1050,1,2,0.03,1,365,0
206,1,18,0.29,2,365,3
785,1,172,2.73,1,331,42
500,1,7,0.11,2,365,0
315,2,28,0.45,1,98,0
4000,1,5,0.08,1,364,0
590,1,26,0.42,8,361,13
480,3,59,1.05,1,349,17
740,1,156,2.54,5,306,39
540,1,2,0.04,1,179,1
1500,1,45,0.8,2,0,7
950,1,6,0.22,7,73,5
380,1,3,0.05,18,363,0
2000,1,0,,1,179,0
336,3,35,0.55,1,0,12
200,1,1,0.02,1,313,0
390,1,59,0.97,5,356,14
300,3,22,0.37,1,365,0
450,1,28,0.5,6,318,8
1200,5,0,,1,90,0
304,1,0,,1,365,0
400,1,97,1.57,3,363,9
254,1,2,0.04,1,56,0
548,4,41,0.66,3,349,11
599,1,11,0.18,18,323,5
343,1,7,0.11,1,364,0
350,1,41,0.68,5,324,5
400,2,5,0.08,3,363,0
268,7,28,0.47,4,241,0
811,1,4,0.07,8,365,0
323,2,9,0.15,1,0,0
400,1,39,0.62,4,171,1
1817,2,1,0.13,2,90,1
400,10,92,1.48,3,83,2
507,2,0,,1,87,0
460,1,13,0.21,5,271,1
210,3,0,,1,1,0
606,1,73,1.32,1,299,11
135,365,0,,1,365,0
568,3,0,,1,363,0
391,7,67,1.08,3,42,12
548,2,30,0.49,1,154,0
365,1,19,0.34,3,360,6
704,1,11,0.18,2,364,1
400,3,8,0.13,1,179,2
1500,2,7,0.12,4,153,1
464,1,38,0.62,3,295,2
345,3,147,2.39,2,38,0
250,2,13,0.22,1,362,0
303,2,5,0.11,1,0,0
3900,1,4,0.07,11,356,0
3900,1,4,0.07,11,349,0
1014,2,2,0.04,1,139,0
464,4,121,1.99,3,74,15
550,7,0,,1,173,0
383,1,192,3.22,1,160,36
1217,1,0,,1,179,0
1250,30,0,,1,89,0
249,1,60,1.08,2,347,37
507,3,6,0.1,1,134,0
1014,3,0,,1,364,0
210,15,1,0.02,2,89,0
216,1,353,5.66,3,316,58
345,7,7,0.11,2,122,1
891,19,11,0.2,14,336,7
500,6,0,,1,180,0
1000,7,4,0.07,4,272,1
500,3,53,0.86,1,264,4
710,6,45,0.73,1,257,6
250,2,1,0.02,1,365,0
699,1,25,0.51,18,291,13
376,1,117,1.91,11,339,21
850,2,15,0.33,3,162,14
1999,1,20,0.34,1,360,2
1414,1,1,0.02,1,338,0
266,1,41,0.72,3,90,14
375,3,2,0.04,1,88,0
821,1,16,0.26,14,361,5
390,1,12,0.21,1,363,3
899,30,85,1.39,2,78,0
350,3,7,0.13,3,358,1
400,1,7,0.11,1,362,0
300,1,5,0.18,1,179,1
600,1,3,0.05,1,364,0
699,1,14,0.26,18,359,2
564,1,12,0.28,1,104,0
840,2,9,0.15,3,162,7
1318,1,14,0.25,1,163,4
5000,1,1,0.02,1,180,0
499,1,14,0.26,18,327,0
200,30,0,,1,365,0
799,1,18,0.3,18,365,1
600,1,0,,1,324,0
203,20,1,0.05,1,262,0
507,2,0,,1,365,0
559,2,8,0.14,10,161,7
5500,1,0,,1,173,0
1200,2,3,0.05,4,153,0
608,2,0,,1,88,0
1000,2,13,0.22,4,153,2
500,1,0,,1,364,0
1899,1,5,0.08,15,356,1
1477,2,64,1.09,3,343,11
1000,3,4,0.08,1,362,0
200,1,1,0.02,1,90,0
811,2,4,0.09,6,363,0
811,2,5,0.09,6,363,0
358,3,8,0.13,1,0,2
3040,1,0,,2,193,0
730,2,5,0.11,6,364,1
410,1,36,0.6,2,324,1
400,2,2,0.04,1,363,1
900,1,3,0.05,2,179,0
350,1,4,0.07,1,363,0
1068,1,205,3.93,4,363,137
3245,1,2,0.04,6,364,0
780,1,15,0.25,3,365,0
850,3,61,1.04,3,144,1
515,1,10,0.19,6,323,3
658,2,220,3.63,1,0,13
293,1,250,4.11,3,360,33
594,1,22,0.36,4,325,0
850,7,0,,1,83,0
364,1,14,0.25,1,89,0
594,1,133,2.21,2,297,27
350,2,101,1.66,1,117,5
800,30,0,,1,359,0
1500,1,2,0.06,10,350,0
250,5,37,0.65,1,178,2
1111,3,24,0.41,5,332,0
1950,2,0,,4,364,0
526,3,1,0.04,6,350,0
400,1,30,0.51,1,324,13
214,3,19,0.37,5,327,7
203,1,3,0.05,6,324,0
2515,2,4,0.07,1,225,2
360,3,0,,1,88,0
380,1,2,0.1,18,352,1
295,3,1,0.02,1,180,0
999,1,118,1.95,19,0,11
350,3,2,0.04,1,81,0
640,1,120,1.98,2,353,12
540,5,120,1.97,1,89,0
540,2,56,0.96,1,173,11
1414,2,13,0.22,1,365,0
588,1,19,0.32,1,216,1
320,2,14,0.23,1,0,5
352,1,164,2.75,2,338,32
2700,1,0,,11,341,0
200,3,6,0.1,1,51,0
300,1,61,1.02,2,365,8
363,1,2,0.07,2,356,0
700,3,1,0.02,1,365,0
406,1,31,0.53,1,89,1
301,3,29,0.5,3,185,5
1014,2,10,0.17,3,365,0
3300,1,4,0.07,1,179,0
345,2,72,1.23,1,89,0
1111,3,19,0.31,5,332,1
640,2,109,2.4,2,257,29
1200,3,17,0.3,2,180,0
307,1,182,3.02,1,38,30
847,1,375,6.24,11,74,83
230,1,299,4.92,3,325,44
1100,3,14,0.24,2,178,0
400,1,0,,2,362,0
495,2,0,,1,85,0
303,2,90,1.61,1,233,0
450,5,0,,3,364,0
400,7,0,,3,365,0
1111,3,13,0.22,5,332,0
450,1,28,0.5,1,89,5
1010,3,32,0.54,5,332,0
700,3,34,0.62,4,49,3
220,2,0,,1,363,0
350,2,53,0.91,3,76,17
487,3,0,,1,363,0
650,3,31,0.53,4,159,2
400,2,18,0.51,2,227,1
1000,2,1,0.02,1,362,0
399,2,48,0.79,4,172,1
550,3,28,0.49,4,145,6
262,15,8,0.14,3,355,3
2231,1,1,0.13,1,179,1
320,3,14,0.28,1,0,0
907,4,5,0.08,3,82,4
181,1,0,,1,358,0
350,1,4,0.07,1,364,0
400,3,0,,1,358,0
719,1,1,0.03,3,31,0
1600,2,2,0.05,4,364,0
550,2,44,0.73,1,0,0
190,1,11,0.23,1,0,0
500,99,0,,1,358,0
203,30,0,,1,365,0
424,2,85,1.43,16,7,12
409,3,3,0.09,6,364,1
871,1,364,6.13,11,159,61
843,2,1,0.02,1,88,0
300,1,18,0.32,1,0,1
349,2,32,0.53,4,0,1
463,1,0,,1,90,0
450,1,0,,1,90,0
200,2,3,0.05,1,0,0
396,2,84,1.41,16,7,11
466,1,254,4.26,11,175,33
1400,1,2,0.04,1,365,0
1010,4,1,0.02,1,365,0
699,1,4,0.07,1,357,0
399,2,1,0.02,2,141,0
345,1,20,0.34,18,365,0
400,1,16,0.27,1,324,0
722,2,7,0.2,4,0,4
295,5,17,0.29,3,112,0
310,2,1,0.03,1,0,0
263,1,2,0.04,1,56,0
609,2,2,0.73,1,335,2
400,2,1,0.34,1,43,1
260,3,1,0.02,2,72,0
850,3,35,0.59,3,328,0
280,3,9,0.16,2,155,7
500,3,6,0.1,2,351,0
470,1,10,0.17,1,18,0
250,1,0,,1,365,0
900,3,15,0.27,3,180,1
364,2,81,1.36,16,7,12
350,3,1,0.02,1,87,0
450,2,3,0.05,1,364,1
750,3,12,0.21,3,364,0
750,3,6,0.12,3,180,0
270,10,0,,1,83,0
700,2,13,0.36,2,108,0
400,7,17,0.29,2,349,5
1100,1,5,0.1,10,349,0
250,2,16,0.28,3,112,0
590,1,47,0.8,1,171,14
371,2,87,1.46,16,7,13
299,3,45,0.77,2,180,5
500,1,1,0.02,1,179,0
300,1,32,0.54,2,293,5
270,1,190,3.22,1,0,0
350,1,129,2.21,2,160,27
2000,1,14,0.25,3,360,0
300,2,73,1.4,7,362,14
888,1,66,1.13,19,0,17
686,10,72,1.26,1,362,0
450,2,26,0.46,1,364,3
450,2,3,0.06,1,180,0
589,2,38,0.81,1,321,10
245,2,63,1.07,3,171,7
709,2,3,0.06,10,161,1
1014,1,2,0.03,1,363,0
4039,1,1,0.03,1,363,0
1000,1,107,1.82,3,139,1
250,1,0,,3,363,0
700,1,0,,4,365,0
200,5,2,0.06,1,356,0
300,2,38,0.66,1,160,7
304,1,4,0.07,5,364,1
3200,30,0,,1,365,0
420,1,18,0.31,5,363,3
350,1,8,0.14,1,362,0
300,30,0,,1,365,0
500,5,0,,1,362,0
985,1,27,0.48,3,360,4
990,1,26,0.44,3,365,5
350,1,36,0.65,5,365,8
450,3,9,0.15,2,363,0
350,1,32,0.56,5,351,1
310,3,10,0.17,1,51,0
350,2,32,0.55,3,359,10
360,15,17,0.29,2,65,0
280,1,1,0.02,1,364,0
480,2,33,1.08,4,142,24
40386,1,1,0.02,2,361,0
250,1,2,0.03,1,359,0
350,3,10,0.23,2,338,0
579,4,55,1.01,1,49,0
2231,1,1,0.02,1,364,0
745,2,36,0.64,2,209,6
378,1,78,1.4,20,81,23
320,1,13,0.23,3,365,0
2637,1,12,0.21,5,365,0
462,1,84,1.43,23,331,0
545,1,29,0.52,7,317,1
350,2,33,0.56,1,257,0
500,6,1,0.02,1,365,0
850,6,87,1.54,1,7,10
450,3,0,,1,365,0
480,2,49,0.88,2,179,0
950,3,122,2.68,2,357,23
800,2,27,0.46,2,19,3
380,3,0,,1,83,0
250,10,0,,1,364,0
375,2,11,0.19,2,180,1
2250,1,85,1.47,5,173,25
890,5,5,0.09,5,364,0
1350,1,100,1.76,4,356,16
566,2,63,1.11,8,364,11
284,2,30,0.51,1,266,23
270,2,11,0.21,2,364,0
350,2,28,0.48,3,232,2
1616,1,53,0.95,7,95,2
560,2,96,1.67,8,361,27
200,1,73,1.3,1,0,1
336,3,37,0.64,1,109,10
410,2,75,1.32,1,169,30
566,2,104,1.84,8,354,29
690,1,2,0.05,2,260,0
600,1,8,0.14,3,365,0
460,2,55,0.94,2,89,0
300,30,1,0.37,1,83,1
396,2,95,1.69,2,77,15
611,2,139,2.41,3,332,43
250,2,20,0.34,1,0,0
328,2,39,0.69,1,118,10
270,2,0,,1,88,0
500,7,0,,1,365,0
400,30,7,0.12,1,363,0
450,1,3,0.06,2,69,0
450,3,15,0.27,1,90,0
872,3,20,0.36,2,163,8
2535,2,1,0.02,6,178,0
270,15,96,1.68,2,349,4
1196,5,1,0.03,5,364,0
300,1,1,0.02,1,358,0
411,1,154,2.69,1,0,29
2197,8,0,,1,90,0
1286,3,0,,1,362,0
687,1,22,0.39,1,365,0
282,3,11,0.19,3,362,1
450,2,14,0.25,1,90,0
795,2,60,1.1,9,357,15
795,2,75,1.32,9,365,2
330,1,9,0.17,3,73,3
400,7,0,,1,365,0
423,4,32,0.56,4,324,4
2000,1,0,,1,90,0
2221,2,88,1.56,1,157,23
300,4,4,0.08,3,365,0
424,2,86,1.52,4,219,7
350,4,9,0.16,1,88,0
1021,5,3,0.07,5,365,0
2100,1,76,1.32,6,301,9
271,1,198,3.82,2,352,26
280,30,1,0.11,2,332,1
408,1,249,4.51,2,238,45
230,7,14,0.25,1,0,0
710,1,0,,2,364,0
304,10,0,,1,180,0
1535,1,3,0.98,6,352,3
750,1,204,3.56,5,173,41
750,1,102,1.78,5,176,12
1500,1,21,0.37,5,175,3
400,2,1,0.02,1,356,0
5048,30,1,0.02,19,173,0
1500,2,0,,1,365,0
700,1,0,,2,179,0
280,30,1,0.02,2,363,0
250,2,16,0.3,5,356,5
350,2,5,0.12,1,356,2
450,1,80,1.43,1,349,11
450,3,3,0.05,1,364,0
754,1,11,0.76,3,88,9
464,1,207,3.68,1,343,57
250,2,22,0.43,5,351,6
329,2,19,0.34,1,84,4
600,7,7,0.13,5,347,0
1000,3,0,,1,179,0
764,3,0,,1,83,0
800,1,1,0.02,1,365,0
330,2,22,0.49,1,140,0
680,2,37,0.65,1,57,3
600,2,21,0.37,2,233,0
539,1,0,,1,89,0
3000,2,15,0.27,2,110,1
505,2,19,0.34,1,179,0
400,2,60,1.05,4,360,25
1420,3,0,,3,90,0
999,2,1,0.02,1,365,0
2100,1,50,0.88,6,301,5
380,1,3,0.05,2,171,0
480,1,2,0.04,1,364,0
750,1,76,1.34,5,176,6
500,1,0,,1,365,0
250,5,14,0.26,2,0,0
300,1,0,,1,88,0
1189,999,1,0.02,4,215,0
200,1,3,0.05,1,356,0
261,15,11,0.2,3,324,1
950,1,7,0.13,7,79,3
409,3,62,1.16,1,202,0
650,4,73,1.29,8,300,6
507,1,401,7.19,7,69,86
750,2,0,,1,179,0
394,1,3,0.05,2,363,0
265,2,2,0.04,3,358,0
349,2,30,0.54,3,303,8
360,7,0,,1,359,0
250,1,42,0.75,1,0,12
834,2,81,1.58,2,175,18
600,2,1,0.02,2,358,0
250,3,14,0.25,5,18,1
9127,1,0,,5,365,0
369,1,292,5.23,7,78,57
1000,2,2,0.04,1,90,0
350,1,48,0.87,2,108,0
424,60,3,0.05,4,48,0
454,1,93,1.7,1,76,11
553,1,119,2.15,2,0,0
550,2,8,0.14,2,203,2
600,7,8,0.17,5,355,0
201,2,2,0.2,1,365,2
500,2,2,0.05,4,172,0
336,5,28,0.53,1,166,5
529,7,12,0.23,5,263,2
380,1,126,2.28,18,0,36
913,1,395,7.49,17,281,115
991,1,427,8.11,17,291,121
550,6,0,,1,88,0
549,2,52,0.97,4,352,12
1500,1,0,,5,0,0
529,3,13,0.24,2,361,0
550,14,35,0.66,1,292,10
450,1,11,0.21,7,323,3
550,1,2,0.06,2,348,0
545,2,87,1.58,2,155,13
445,1,83,1.6,1,349,23
568,1,139,2.51,1,313,16
525,2,22,0.42,2,289,6
2000,2,6,0.79,1,364,6
700,1,241,4.35,4,87,61
206,2,12,0.34,2,364,4
251,2,22,0.42,5,329,7
550,1,36,0.74,1,80,0
1250,1,1,0.02,1,267,0
500,1,7,0.15,5,162,1
600,1,51,0.94,3,361,8
330,7,0,,1,180,0
225,7,0,,1,20,0
299,2,0,,1,365,0
600,5,4,0.1,1,365,0
250,4,16,0.29,1,80,0
529,7,22,0.41,5,303,8
325,1,1,0.02,1,180,0
215,2,13,0.27,1,179,4
499,1,93,1.71,1,236,18
250,6,1,0.03,1,365,0
375,1,85,1.56,3,0,7
250,6,0,,1,365,0
647,4,4,0.07,2,89,0
620,1,0,,1,179,0
565,1,58,1.08,2,342,15
221,365,0,,1,358,0
1000,2,18,0.34,2,179,2
600,1,73,1.35,3,365,7
350,1,42,0.76,1,77,0
800,30,2,0.04,1,173,0
400,1,181,3.32,1,355,1
690,1,285,5.24,11,38,78
270,2,21,0.39,10,335,2
327,2,28,0.52,2,52,6
600,30,64,1.19,1,264,0
450,1,4,0.07,6,313,0
449,1,225,4.19,4,172,41
201,2,27,0.49,3,171,1
300,4,27,0.49,1,79,0
556,2,195,3.56,8,86,37
933,1,1,0.02,1,180,0
555,2,1,0.02,2,179,0
264,1,280,5.06,1,108,21
200,3,0,,1,365,0
480,3,0,,1,180,0
250,1,74,1.37,11,331,14
718,2,228,4.16,8,87,49
550,3,7,0.14,1,180,1
250,2,11,0.21,1,18,0
205,3,11,0.2,1,64,0
400,1,0,,1,365,0
1000,1,1,0.02,1,365,0
450,2,0,,1,89,0
304,2,37,0.69,1,365,0
650,1,1,0.02,1,364,0
400,1,1,0.02,1,87,0
293,2,13,0.24,1,363,0
380,1,196,3.58,18,0,48
1000,2,0,,1,109,0
600,1,2,0.49,7,171,2
700,2,17,0.32,1,0,0
224,1,12,0.35,2,365,1
608,2,1,0.03,1,173,0
380,5,2,0.04,1,179,0
250,2,22,0.43,1,142,0
200,60,0,,1,365,0
420,3,33,0.62,1,258,3
275,1,95,1.75,1,254,23
300,7,0,,1,365,0
350,1,10,0.18,2,40,0
460,3,23,0.48,1,363,1
730,3,23,0.47,2,256,3
849,2,24,0.46,4,352,4
461,2,229,4.28,3,353,67
385,2,89,1.66,1,311,11
586,3,10,0.25,1,233,0
500,2,4,0.09,1,171,1
800,2,1,0.03,7,171,0
300,2,31,0.62,2,233,0
500,1,207,3.81,2,362,24
461,1,144,2.67,7,352,34
392,1,45,0.87,1,0,2
320,1,83,1.54,11,346,26
436,1,110,2.08,35,348,42
800,1,33,0.62,1,180,0
600,2,61,1.14,1,311,20
280,1,49,0.94,2,0,0
280,1,80,1.61,1,260,4
650,2,0,,4,170,0
319,5,83,1.57,1,341,12
750,3,11,0.21,2,2,0
264,30,3,0.06,1,289,0
1800,3,0,,3,365,0
500,1,2,0.04,1,358,0
1150,1,29,0.57,16,351,8
495,3,14,0.27,3,327,4
250,3,13,0.24,5,355,2
1414,2,2,0.04,3,89,0
300,28,0,,1,83,0
223,1,1,0.02,1,365,0
1100,2,0,,1,89,0
300,5,5,0.1,2,365,0
300,3,34,0.64,2,63,4
464,1,176,3.25,11,361,49
1825,2,0,,3,364,0
300,2,30,0.56,1,113,0
521,2,174,3.24,2,33,21
570,1,87,1.63,1,139,0
500,1,6,0.2,1,0,3
202,2,4,0.07,1,364,0
450,1,4,0.08,1,365,0
410,3,17,0.32,1,0,0
200,2,9,0.17,1,168,2
301,2,61,1.13,2,363,18
350,54,0,,1,364,0
320,1,0,,1,89,0
368,30,129,2.42,1,81,0
470,2,94,1.76,1,365,16
473,2,197,3.73,3,360,58
850,2,0,,1,177,0
450,2,6,0.12,2,365,0
660,1,104,1.99,3,139,11
200,3,14,0.32,1,175,9
342,2,181,3.41,1,286,25
200,90,0,,1,178,0
288,2,16,0.3,2,83,3
700,1,5,0.1,1,327,0
203,2,3,0.06,1,206,0
219,2,54,1.03,1,106,25
415,15,1,0.02,1,365,0
450,1,18,0.34,2,0,0
600,1,0,,1,180,0
205,1,54,1.01,2,347,13
400,1,51,1.65,3,313,33
1069,1,306,5.82,17,297,90
400,1,101,2.01,3,312,19
389,2,0,,3,270,0
399,2,0,,3,180,0
377,1,76,1.43,20,96,24
600,1,1,0.02,1,89,0
466,3,10,0.19,6,365,2
270,1,24,0.46,2,177,9
550,2,74,1.4,2,162,12
250,90,0,,1,180,0
733,2,132,2.49,1,364,20
1000,7,0,,1,179,0
706,2,37,0.7,5,179,6
495,1,1,0.02,2,69,0
900,2,8,0.15,5,179,2
900,2,4,0.09,5,179,2
500,2,42,0.79,5,179,10
300,2,69,1.29,1,331,10
872,5,0,,1,365,0
399,2,44,0.9,2,171,16
202,1,58,1.1,2,346,10
325,1,14,0.27,2,355,6
2231,7,63,1.19,1,180,0
650,2,2,0.04,4,356,0
830,1,14,0.27,1,178,8
480,1,155,3.2,29,352,20
240,2,44,0.84,3,21,0
600,1,50,1.01,1,334,5
300,30,5,0.1,3,172,0
550,1,1,0.02,1,173,0
900,1,2,0.04,1,365,0
710,1,0,,2,365,0
710,1,1,0.02,2,365,0
400,1,81,1.54,1,85,10
380,2,0,,1,358,0
240,3,0,,1,80,0
3000,1,0,,1,365,0
534,3,29,0.57,1,132,0
250,4,1,0.46,1,83,1
270,2,5,0.1,10,355,1
244,5,4,0.09,2,334,0
280,2,6,0.12,10,363,5
950,2,38,0.75,5,351,9
499,1,15,0.31,18,153,5
280,1,3,0.06,10,355,1
383,1,106,2,18,0,46
270,2,13,0.3,10,361,6
990,1,439,8.35,17,282,101
401,2,79,1.56,2,360,28
500,2,79,1.64,1,151,21
1449,2,31,0.61,4,329,5
250,2,31,0.6,2,4,0
550,1,25,0.47,4,349,6
811,2,72,1.38,2,304,5
550,1,54,1.03,3,230,5
500,1,6,0.12,1,89,0
1007,1,337,6.49,17,263,97
509,3,3,0.06,10,38,1
650,1,61,1.6,3,162,9
507,2,1,0.03,1,170,0
500,5,15,0.3,1,183,7
450,2,82,1.57,1,140,3
890,1,21,0.41,8,365,7
1318,28,4,0.09,8,356,0
250,2,0,,1,88,0
931,1,298,5.67,17,317,74
875,1,13,0.25,1,90,0
350,1,35,0.67,2,363,3
210,1,16,0.31,1,88,0
265,7,0,,1,365,0
400,5,3,0.06,1,365,0
350,1,45,0.87,2,72,6
330,30,8,0.35,6,343,1
400,1,8,0.15,1,170,0
350,1,10,0.2,1,110,7
900,2,7,0.13,5,180,1
2700,1,30,0.68,1,353,15
622,2,137,2.63,8,87,38
1054,1,363,6.92,17,304,94
1900,1,28,0.53,2,89,0
250,1,20,0.47,4,172,1
350,2,0,,1,363,0
300,2,5,0.1,1,0,0
400,1,25,0.48,2,171,0
991,1,489,9.36,17,233,140
550,2,33,0.63,1,47,1
913,1,25,0.49,6,294,13
230,1,3,0.06,1,171,0
707,3,11,0.25,1,365,0
240,1,105,2.04,2,138,40
347,2,125,2.38,1,343,15
450,1,30,0.57,4,264,0
300,1,2,0.04,1,180,0
1825,3,0,,1,180,0
232,5,23,0.44,4,361,5
350,4,23,0.45,2,0,4
550,1,0,,1,90,0
200,1,35,0.71,4,121,20
1100,3,0,,3,180,0
485,1,357,6.84,13,361,48
2361,2,27,0.55,2,339,0
720,2,0,,4,170,0
1000,1,0,,1,365,0
500,3,0,,1,365,0
830,1,55,1.24,5,345,20
507,1,311,6.65,2,346,44
350000,1,0,,1,365,0
332,1,0,,1,180,0
1420,2,1,0.02,6,23,0
400,3,1,0.02,1,179,0
500,2,2,0.07,2,178,0
1623,2,0,,6,23,0
450,2,1,0.02,2,365,0
1707,1,42,0.87,1,306,9
440,3,1,0.02,1,88,0
614,2,46,0.89,4,324,0
1014,1,0,,1,88,0
250,1,42,0.89,1,359,20
830,1,197,3.8,3,172,47
500,1,0,,1,83,0
548,1,0,,1,81,0
3115,1,1,0.02,1,179,0
300,3,10,0.22,1,256,6
837,2,82,1.81,1,136,24
