price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
550,1,5,0.07,2,364,1
650,1,144,1.8,2,361,6
300,2,30,0.36,2,170,0
1757,1,0,,1,365,0
650,3,0,,1,365,0
200,1,0,,1,173,0
325,1,81,1.14,2,36,0
533,1,1,0.01,2,324,0
536,1,21,0.26,3,362,13
250,2,27,0.38,2,171,0
400,4,1,0.03,1,362,0
700,1,64,0.81,2,77,8
1000,3,0,,1,363,0
325,7,13,0.15,1,363,0
300,1,0,,1,363,0
600,2,161,2.03,2,75,2
400,2,6,0.07,1,359,0
361,1,281,3.39,11,331,53
2986,1,89,1.03,4,341,47
594,2,35,0.48,2,343,1
780,7,88,1.21,5,171,1
450,3,12,0.18,2,0,2
350,2,77,0.94,3,347,3
707,1,12,0.15,1,365,1
403,3,40,0.49,1,333,20
2400,1,16,0.19,4,329,5
287,30,29,0.36,3,212,4
400,1,37,0.45,10,0,0
1200,3,25,0.3,3,363,1
533,1,4,0.05,2,324,0
710,2,178,2.24,3,320,25
347,4,2,0.1,11,234,0
280,2,105,1.26,2,175,4
498,2,14,0.21,3,297,6
250,30,0,,1,358,0
278,1,1,0.01,1,365,0
287,30,11,0.13,3,276,3
300,1,25,0.32,1,365,0
1724,2,22,0.34,1,365,0
980,2,10,0.12,1,363,0
9999,1,0,,1,365,0
343,30,1,0.01,2,365,0
450,1,2,0.03,1,363,0
250,1,1,0.02,1,365,0
1245,10,0,,1,87,0
500,3,4,0.05,1,365,0
350,7,8,0.1,1,263,0
550,1,25,0.3,1,364,1
710,1,0,,1,365,0
913,2,1,0.03,2,255,0
490,2,33,0.39,3,83,3
560,2,24,0.28,3,89,7
608,2,44,0.55,1,139,0
700,1,8,0.09,4,365,1
550,15,12,0.15,1,0,0
215,5,10,0.12,5,310,0
230,8,14,0.16,5,310,0
2900,1,26,0.32,7,363,1
2854,1,93,1.11,6,335,4
200,1,0,,1,365,0
280,2,134,1.6,2,362,17
8200,1,0,,1,365,0
532,1,21,0.26,1,356,0
666,3,0,,1,89,0
536,3,150,1.89,11,136,24
350,2,41,0.63,2,97,4
250,1,0,,1,54,0
880,3,30,0.35,3,178,0
450,1,0,,1,309,0
600,4,0,,1,363,0
990,3,10,0.12,3,178,2
1197,1,0,,1,365,0
487,28,8,0.1,7,278,0
800,30,0,,1,365,0
300,4,19,0.23,1,0,2
600,2,11,0.16,1,363,0
563,3,46,0.68,1,76,17
500,30,1,0.01,1,179,0
900,1,0,,1,365,0
4947,1,0,,19,365,0
632,2,218,2.68,1,293,15
350,2,21,0.25,3,140,0
304,2,96,1.15,1,322,11
250,1,33,0.59,1,323,1
921,1,82,1.04,1,169,11
560,1,0,,1,365,0
852,2,37,0.45,7,348,0
380,1,2,0.02,1,10,0
533,2,0,,1,365,0
280,3,0,,3,364,0
608,3,1,0.1,1,363,1
900,1,0,,1,358,0
304,1,34,0.6,2,363,14
395,1,3,0.05,2,261,1
310,3,18,0.25,2,232,0
600,3,72,0.86,2,167,0
220,1,132,1.75,1,345,32
299,2,11,0.14,3,263,2
585,1,52,0.63,3,140,0
404,3,48,0.61,1,302,4
1893,1,26,0.31,4,347,15
400,1,109,1.56,1,90,8
350,1,0,,1,345,0
3433,1,0,,19,365,0
205,2,47,0.55,4,351,7
210,1,0,,1,89,0
1500,2,1,0.02,3,365,0
507,4,80,0.99,3,320,8
406,1,1,0.01,6,324,0
487,2,6,0.07,1,365,2
230,3,10,0.12,5,310,0
252,30,25,0.33,3,154,4
548,3,12,0.16,6,365,2
390,3,3,0.05,1,192,1
750,2,5,0.08,13,360,1
243,28,6,0.1,7,356,1
666,2,7,0.09,3,363,0
330,1,0,,1,365,0
484,1,2,0.03,1,365,0
550,1,0,,1,365,0
507,28,7,0.43,7,331,5
446,28,11,0.17,7,319,1
595,3,53,0.65,1,355,0
608,1,4,1.01,1,360,4
953,1,20,0.31,1,365,0
200,2,7,0.11,2,317,4
710,3,23,0.34,6,324,0
700,2,0,,1,365,0
1043,1,93,1.43,2,171,16
281,3,191,2.46,1,45,11
955,2,29,0.39,1,1,0
406,1,0,,1,365,0
599,2,2,0.05,1,365,0
400,3,66,0.92,1,43,15
4500,1,0,,1,365,0
590,1,419,5.24,5,356,56
250,1,24,0.31,2,324,0
4341,3,2,0.04,1,365,0
550,1,7,1.09,1,266,7
480,2,0,,1,89,0
480,1,29,0.37,1,362,0
1918,1,4,0.05,19,365,0
460,3,158,1.99,2,165,28
550,1,19,0.29,13,365,7
325,2,191,2.41,1,359,4
350,1,0,,1,89,0
568,1,0,,2,365,0
808,1,1,0.01,1,363,0
850,1,126,1.61,5,329,6
384,2,22,0.28,3,23,4
800,1,0,,1,365,0
637,1,0,,2,364,0
614,19,201,2.5,1,364,0
700,2,23,0.29,1,302,1
310,2,54,0.98,2,174,23
1000,2,2,0.07,4,0,0
710,6,0,,1,365,0
230,2,21,0.27,5,310,0
1000,1,3,0.04,1,364,0
220,4,23,0.29,5,312,0
568,2,1,0.01,1,363,0
616,3,127,1.62,11,145,10
534,3,169,2.14,11,142,22
2709,1,93,1.15,6,326,1
498,3,115,1.46,11,140,12
260,1,10,0.2,1,325,0
753,5,0,,2,0,0
365,2,36,0.5,4,149,6
350,1,23,0.29,2,324,9
586,3,123,1.57,11,111,17
450,1,1,0.02,1,362,0
707,3,3,0.06,1,0,0
440,1,0,,1,363,0
261,2,76,1,1,130,16
1014,3,0,,1,178,0
312,1,3,0.05,1,293,2
315,3,93,1.16,1,263,0
449,2,62,0.77,5,233,0
497,1,196,2.46,1,23,23
736,4,0,,1,358,0
771,1,0,,1,365,0
1500,1,76,0.94,15,0,0
325,3,26,0.33,1,171,2
500,1,89,1.11,15,0,0
250,2,76,1.08,2,176,17
747,2,1,0.02,3,80,0
555,4,16,0.24,2,303,6
363,30,1,0.04,2,365,0
415,1,27,0.34,2,302,2
550,2,84,1.18,1,179,10
480,1,19,0.24,3,141,0
1399,1,32,0.42,5,100,0
500,2,2,0.03,1,363,1
323,5,63,0.81,1,301,0
300,1,3,0.04,1,364,0
286,3,0,,7,361,0
306,1,1,0.02,1,364,0
290,3,11,0.14,7,362,8
450,15,0,,1,180,0
507,3,27,0.37,6,364,0
432,2,42,0.55,1,296,23
300,2,18,0.32,1,263,0
608,1,13,0.17,2,364,2
300,1,84,1.05,2,264,0
1014,2,7,0.1,1,363,0
720,1,0,,1,365,0
331,1,78,0.99,3,84,19
516,2,128,1.66,3,327,16
203,2,55,0.7,1,175,0
460,1,232,2.98,1,338,22
313,1,7,0.65,1,153,7
20193,1,0,,1,365,0
450,2,33,0.58,1,265,2
500,5,18,0.26,2,228,8
561,3,110,1.41,11,139,19
608,1,1,0.01,2,364,0
200,5,65,0.85,3,335,2
606,3,1,0.01,1,363,0
290,1,40,0.77,1,171,0
629,2,4,0.05,1,365,0
1313,1,0,,1,365,0
250,2,0,,2,365,0
203,4,0,,1,364,0
350,2,3,0.04,1,172,0
590,1,42,0.78,3,142,0
251,2,54,3.11,1,73,32
298,2,0,,1,173,0
450,5,11,0.23,5,49,2
500,2,73,1.02,8,295,6
376,3,19,0.25,3,362,7
594,2,31,0.41,2,341,1
744,1,168,2.26,6,342,1
400,28,1,0.02,1,365,0
650,1,40,0.58,1,0,0
972,1,354,4.69,6,308,49
871,1,160,2.94,6,318,41
600,1,119,1.53,6,325,23
290,2,15,0.2,2,0,0
4000,2,13,0.18,1,365,0
451,3,138,1.77,11,138,29
910,1,57,0.75,1,356,9
328,4,9,0.13,2,293,0
2989,1,5,0.07,3,344,1
1390,1,0,,1,363,0
200,180,2,0.06,3,365,0
230,2,21,0.29,2,4,0
710,1,0,,2,362,0
577,8,0,,1,365,0
1500,2,0,,1,363,0
606,3,175,2.29,1,312,23
363,1,2,0.03,2,172,0
345,1,315,4.09,3,2,7
350,1,8,0.11,1,264,2
710,6,0,,2,363,0
5048,1,0,,19,365,0
426,2,64,0.85,7,349,6
3382,1,0,,19,365,0
600,1,13,0.19,2,259,0
5553,1,0,,19,362,0
363,2,70,0.93,2,350,5
285,1,69,1.03,5,322,7
370,2,14,0.19,1,363,1
500,1,79,2.04,8,365,19
426,2,36,0.48,7,187,3
360,1,7,0.14,1,0,0
1014,2,13,0.21,1,365,1
606,2,143,1.94,1,188,4
300,365,0,,1,365,0
319,3,0,,1,365,0
756,3,73,0.98,8,329,0
660,2,79,1.05,1,364,8
300,3,24,0.35,1,362,1
650,3,44,0.59,1,354,13
503,3,186,2.42,11,141,15
3736,1,0,,19,365,0
399,2,271,3.6,1,363,24
4543,1,1,0.02,19,362,0
1817,1,0,,19,365,0
480,2,0,,1,88,0
250,1,77,1.05,11,355,23
220,3,23,0.31,2,294,2
365,1,0,,1,358,0
811,1,0,,1,89,0
650,5,1,0.03,3,356,0
300,2,45,0.6,1,364,6
1399,1,84,1.1,5,7,2
214,5,1,0.03,1,0,0
1314,2,2,0.03,1,125,0
540,1,10,0.14,27,172,0
606,1,162,2.12,6,281,31
1014,1,0,,1,358,0
565,2,36,0.51,2,18,3
353,1,189,2.51,11,337,40
430,1,11,0.14,1,364,4
400,2,1,0.02,1,83,0
303,2,103,1.37,37,86,23
283,2,132,1.77,37,67,22
365,3,18,0.24,2,48,6
573,1,9,0.13,2,365,0
604,5,54,0.74,1,159,13
288,1,6,0.08,1,363,0
2028,1,0,,1,23,0
4500,1,0,,1,365,0
1000,2,7,0.09,1,364,1
484,3,154,2.04,11,133,26
848,2,37,0.5,8,338,1
500,3,1,0.03,1,365,0
450,5,23,0.42,1,83,6
380,2,2,0.07,1,364,0
334,1,0,,1,365,0
400,2,3,0.04,7,363,0
400,2,9,0.14,7,363,2
678,1,171,2.32,15,350,40
299,3,3,0.1,3,178,2
694,1,0,,1,365,0
255,2,30,0.46,1,87,5
600,1,205,2.76,6,182,19
264,1,7,0.1,1,339,0
550,1,13,0.18,2,298,6
507,2,22,0.3,7,362,2
400,2,11,0.16,7,363,3
464,2,7,0.11,3,317,2
556,2,16,0.22,1,321,11
210,3,36,0.69,1,80,0
384,1,11,0.15,2,365,0
599,1,13,0.18,18,190,4
700,2,4,0.06,2,265,0
200,2,10,0.3,1,364,6
1014,1,2,0.03,1,88,0
250,2,53,0.76,2,358,6
2251,1,0,,1,365,0
400,1,0,,1,177,0
600,1,1,0.79,3,357,1
406,3,0,,1,362,0
500,1,1,0.01,2,363,0
240,2,8,0.16,3,0,0
606,6,0,,1,0,0
750,180,1,0.02,1,0,0
1202,1,110,1.98,4,283,104
600,2,112,1.65,1,18,0
380,2,11,0.19,2,89,2
280,1,38,0.53,1,0,0
913,2,10,0.15,1,88,2
250,1,4,4,18,174,4
1100,2,0,,2,83,0
1414,1,0,,1,88,0
398,14,32,0.45,5,327,2
1337,1,17,0.54,4,283,16
489,7,0,,1,358,0
1607,1,22,0.57,4,91,21
913,4,0,,1,83,0
1922,1,5,0.13,4,269,1
450,1,27,0.37,1,365,1
800,2,0,,1,89,0
1000,1,0,,1,365,0
403,1,46,0.65,15,357,12
456,1,55,0.77,15,364,35
250,3,10,0.14,2,72,6
350,2,0,,1,83,0
599,1,12,0.29,18,95,6
480,1,0,,2,89,0
550,1,2,0.04,2,365,0
447,3,146,2.13,11,140,35
350,1,28,0.4,1,324,8
495,1,142,1.91,23,351,9
20282,1,0,,1,358,0
1379,1,0,,2,87,0
345,1,35,0.48,2,83,0
487,1,96,1.29,2,356,0
1927,3,0,,1,365,0
453,7,47,0.66,2,341,6
346,1,61,0.83,4,362,18
550,6,0,,1,363,0
350,2,0,,1,362,0
300,2,28,0.39,2,81,6
710,2,40,0.55,1,89,1
980,2,40,0.59,2,178,8
1100,1,18,0.3,8,90,6
609,1,127,1.75,5,329,20
406,1,1,0.01,6,324,0
380,5,0,,8,363,0
450,3,26,0.37,4,360,4
333,1,55,0.75,2,354,2
220,15,6,0.08,6,325,0
380,5,0,,8,88,0
1394,7,0,,1,364,0
800,2,1,0.02,7,172,0
913,1,37,0.51,8,356,3
1115,1,62,0.86,8,356,2
505,1,2,0.07,2,266,1
406,1,35,0.51,1,80,0
249,2,5,0.07,2,141,0
250,1,18,0.25,1,0,0
500,1,0,,1,365,0
2028,1,0,,1,365,0
400,3,10,1.15,1,0,10
350,1,4,0.09,9,347,2
383,1,2,0.49,1,365,2
400,1,0,,1,365,0
780,7,7,0.1,5,171,0
453,3,32,0.44,4,354,11
206,2,8,0.11,1,0,3
270,1,14,0.2,1,130,1
360,7,1,0.02,1,265,0
469,3,0,,2,365,0
780,7,27,0.39,5,57,0
223,7,0,,1,354,0
586,2,24,0.55,2,89,3
680,2,38,0.55,2,178,8
505,2,3,0.18,1,151,2
811,2,2,0.03,7,278,0
215,1,11,0.29,2,334,5
811,2,0,,6,363,0
799,1,25,0.35,18,270,2
1623,2,0,,1,179,0
300,1,0,,1,0,0
505,3,80,1.11,1,64,14
304,1,4,0.05,1,362,0
520,3,11,0.15,1,170,5
300,3,26,0.4,1,178,8
400,2,4,0.05,7,363,0
2535,1,13,0.19,8,90,4
1100,1,0,,1,365,0
450,2,10,0.14,1,324,1
2535,2,14,0.2,8,358,0
426,2,79,1.09,7,357,12
309,3,23,0.32,5,266,0
2619,1,0,,1,364,0
406,1,0,,1,365,0
4543,1,1,0.01,19,363,0
400,2,6,0.08,2,349,1
895,1,18,0.34,4,208,4
400,3,7,0.12,5,90,1
884,14,28,0.39,5,245,0
503,2,40,1.12,3,68,16
339,3,13,0.2,1,324,7
895,1,0,,4,98,0
550,1,1,0.01,1,363,0
895,1,19,0.26,4,359,2
550,1,64,1.05,15,359,31
695,1,11,0.15,4,312,3
500,2,116,1.65,2,359,19
240,2,75,1.72,3,77,5
335,2,6,0.1,1,363,0
6084,1,0,,1,178,0
200,1,1,0.02,1,363,0
264,5,41,0.63,4,172,23
649,1,24,0.36,1,86,6
650,7,38,0.59,1,21,0
375,5,0,,1,89,0
