,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
210,250.0,2.0,27.0,0.38,2.0,171,0.0
211,400.0,4.0,1.0,0.03,1.0,362,0.0
212,700.0,1.0,64.0,0.81,2.0,77,8.0
213,1000.0,3.0,0.0,1.3,1.0,363,0.0
214,325.0,7.0,13.0,0.15,1.0,363,0.0
215,300.0,1.0,0.0,1.3,1.0,363,0.0
216,600.0,2.0,161.0,2.03,2.0,75,2.0
217,400.0,2.0,6.0,0.07,1.0,359,0.0
218,361.0,1.0,15.4,3.39,11.0,331,53.0
219,2986.0,1.0,89.0,1.03,4.0,341,47.0
220,594.0,2.0,35.0,0.48,2.0,343,1.0
221,780.0,7.0,88.0,1.21,5.0,171,1.0
222,450.0,3.0,12.0,0.18,2.0,0,2.0
223,350.0,2.0,77.0,0.94,3.0,347,3.0
224,707.0,1.0,12.0,0.15,1.0,365,1.0
225,403.0,3.0,40.0,0.49,1.0,333,20.0
226,2400.0,1.0,16.0,0.19,4.0,329,5.0
227,287.0,30.0,29.0,0.36,3.0,212,4.0
228,400.0,1.0,37.0,0.45,10.0,0,0.0
229,1200.0,3.0,25.0,0.3,3.0,363,1.0
230,533.0,1.0,4.0,0.05,2.0,324,0.0
231,710.0,2.0,15.4,2.24,3.0,320,25.0
232,347.0,4.0,2.0,0.1,11.0,234,0.0
233,280.0,2.0,105.0,1.26,2.0,175,4.0
234,498.0,2.0,14.0,0.21,3.0,297,6.0
235,250.0,30.0,0.0,1.3,1.0,358,0.0
236,278.0,1.0,1.0,0.01,1.0,365,0.0
237,287.0,30.0,11.0,0.13,3.0,276,3.0
238,300.0,1.0,25.0,0.32,1.0,365,0.0
239,1724.0,2.0,22.0,0.34,1.0,365,0.0
240,980.0,2.0,10.0,0.12,1.0,363,0.0
241,9999.0,1.0,0.0,1.3,1.0,365,0.0
242,343.0,30.0,1.0,0.01,2.0,365,0.0
243,450.0,1.0,2.0,0.03,1.0,363,0.0
244,250.0,1.0,1.0,0.02,1.0,365,0.0
