id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12682584,"Las Cañitas, la experiencia porteña",50749395,Alejandro,,Palermo,-34.56253,-58.44002,Entire home/apt,4806,3,34,2021-12-27,0.47,2,363,1,
12708216,1 Ambiente Amueblado,62691983,Claudio,,Balvanera,-34.61724,-58.40226,Entire home/apt,4000,6,9,2019-01-12,0.12,1,268,0,
12452669,"Duplex, parrilla & patio. Recoleta",67373581,Marcela,,Recoleta,-34.58852,-58.39514,Entire home/apt,6162,30,1,2022-05-19,0.86,1,141,1,
12710716,"Privado,silencioso,luminoso comodo",69098574,Roxy,,Palermo,-34.59553,-58.42214,Entire home/apt,6338,2,32,2018-11-24,0.43,8,30,0,
12455940,From the sky of Buenos Aires.,67262620,Carlos,,San Nicolas,-34.60352,-58.37842,Entire home/apt,4736,2,214,2022-06-06,2.97,5,302,21,
11668398,"Recoleta, Impecable!",45925448,Martina,,Recoleta,-34.59356,-58.39091,Entire home/apt,5545,3,90,2022-05-03,1.23,2,88,5,
12715621,"Seguro,privado y muy luminoso!",69098574,Roxy,,Palermo,-34.59553,-58.42214,Entire home/apt,6954,2,29,2020-03-26,0.40,8,21,0,
11668500,Comfortable Studio - Ideal Students and Travelers,59457162,Victor,,Nuñez,-34.55549,-58.46944,Entire home/apt,2218,4,58,2022-04-20,0.76,3,24,8,
11673970,Amplio y súper completo en Recoleta,1776765,Carlos,,Recoleta,-34.59074,-58.39261,Entire home/apt,7000,30,0,,,1,243,0,
12731956,Tranquil single room in Recoleta,14503305,Fernando,,Recoleta,-34.5875,-58.38692,Private room,4806,29,1,2016-06-19,0.01,1,0,0,
11688606,Mooie kamer TWIN met eigen badkamer,9144221,Karin,,Balvanera,-34.61593,-58.40525,Private room,4929,3,15,2017-10-15,0.20,9,365,0,
11713785,Ample Duplex with private terrace,1845492,Maga,,Colegiales,-34.56893,-58.45269,Entire home/apt,6162,7,38,2022-04-28,0.50,17,133,8,
12465989,Amazing Apartment in the heart of Buenos Aires,66112655,Lucia,,Palermo,-34.58136,-58.40762,Entire home/apt,1972,4,49,2022-03-14,0.70,1,8,16,
12733625,Apartamento 3 huespedes Recoleta,2638586,Maria De La Paz,,Recoleta,-34.58638,-58.40058,Entire home/apt,3897,30,1,2017-01-27,0.02,8,214,0,
12748942,BYBLOS Palermo Soho Studio,66041997,Lucas,,Palermo,-34.59001,-58.42462,Entire home/apt,4500,1,2,2018-09-29,0.03,1,0,0,
12482796,Recoleta's Apt in Premium Location,6645660,Estrella,,Recoleta,-34.59357,-58.38804,Entire home/apt,12323,7,0,,,1,363,0,
12754901,SOLER APARTMENTS I,10832119,Ari,,Palermo,-34.58064,-58.43541,Entire home/apt,3943,2,169,2022-05-13,2.26,37,363,49,
12484728,Luxury Apartment/Studio - Palermo Hollywood,65408653,Juan Cruz,,Palermo,-34.57767,-58.43497,Entire home/apt,6655,2,151,2022-06-20,2.77,2,170,19,
11715035,Apartamento en Palermo,55603216,Marina,,Recoleta,-34.59671,-58.40869,Entire home/apt,12323,3,0,,,1,365,0,
12778991,"San Telmo, Beautiful French Apartment",69534641,Roxana,,San Telmo,-34.62075,-58.37225,Entire home/apt,18485,2,67,2022-04-02,0.91,1,132,6,
11716806,Room in a typical PH in Palermo,25761025,Ines,,Palermo,-34.57835,-58.43686,Private room,9859,1,0,,,1,362,0,
12530838,KOHLI-HOUSE LA TORRE DE LA PRINCESA,10533266,Emilio,,Constitucion,-34.61857,-58.3782,Entire home/apt,3697,2,22,2022-06-05,0.48,10,132,8,
12534895,Cozy & Affordable 2 BR in Palermo,5632049,John,,Colegiales,-34.58157,-58.44485,Entire home/apt,8626,5,13,2022-05-17,0.22,10,352,4,
12790544,Alquiler Habitacion grande en piso compartido,69638518,Cintia,,Constitucion,-34.61756,-58.37771,Private room,1230,3,1,2016-05-28,0.01,1,325,0,
12536436,Stunning Studio best location,5632049,John,,Recoleta,-34.59383,-58.40088,Entire home/apt,9242,7,5,2022-03-06,0.08,10,364,1,
12545413,Habitación luminosa en la zona de Belgrano,2566933,Aida,,Belgrano,-34.56116,-58.45466,Private room,3450,2,25,2019-12-07,0.34,3,0,0,
12792442,Single room with private bathroom,17965177,Lina,,San Telmo,-34.61968,-58.37604,Private room,2465,7,1,2018-05-22,0.02,6,302,0,
11721630,Comodo y Renovado departamento. Tiny House.,32425953,Estefania,,Villa Santa Rita,-34.61463,-58.47711,Entire home/apt,8000,2,0,,,1,89,0,
12792605,Recoleta Bohemian & Chic,61946757,Agustina,,Recoleta,-34.59457,-58.39558,Entire home/apt,3574,2,19,2022-06-13,0.57,1,34,12,
12554822,"Luxury apartment in Palermo, Bs As",67862627,Mark,,Palermo,-34.57976,-58.42905,Entire home/apt,6778,3,3,2019-01-04,0.05,1,265,0,
12797358,NUEVO! Recoleta 2 dorm espectacular vista,42388196,Maria,,Recoleta,-34.58851,-58.40113,Entire home/apt,12323,7,1,2022-04-30,0.56,14,326,1,
12562738,Hermoso departamento en Colegiales,4587365,Nicolas,,Colegiales,-34.57951,-58.45325,Entire home/apt,1972,3,21,2020-05-05,0.28,1,183,0,
11758496,Centric 2 bedroom/bathroom apt (Plaza San Martin),41236278,Marta,,Retiro,-34.59152,-58.37817,Entire home/apt,5545,1,18,2020-02-25,0.34,1,0,0,
12805107,"Palermo Hollywood, Fitz Roy 2000 GR",23525725,Guillermo,,Palermo,-34.58007,-58.43205,Entire home/apt,4436,15,31,2022-06-08,0.43,1,332,4,
12566806,Monoambiente a 1 cuadra de peatonal Florida,49480723,Delia Concepcion,,Retiro,-34.59774,-58.37256,Entire home/apt,4929,1,5,2022-03-06,0.14,34,335,2,
12814186,New 1 Bedroom Apartment! Palermo! Lots of light!,32101897,Rodolfo Y Narella,,Palermo,-34.59535,-58.42214,Entire home/apt,5545,2,106,2022-06-05,1.45,8,348,14,
12591138,"ROOM IN PALERMO, EXCELLENT AREA !",60229726,Fernanda,,Almagro,-34.60065,-58.41859,Private room,3081,2,19,2018-11-20,0.25,1,140,0,
12824010,⚽ Palermo Upscale Tower w/ pool and luggage check,5268363,Marcos,,Palermo,-34.58294,-58.43313,Entire home/apt,11478,3,82,2021-04-08,1.11,6,57,0,
12599178,Cozy retreat in Palermo,13586168,Mariela,,Recoleta,-34.5845,-58.40556,Entire home/apt,6162,7,0,,,1,11,0,
11768124,Penthouse im Refugio Palermo,27594774,Birgit,,Palermo,-34.59373,-58.42599,Entire home/apt,4157,5,4,2019-03-25,0.05,1,357,0,
11786001,BEAUTIFUL AND BRIGHT APARTMENT in DOWNTWON-RETIRO,23006954,Martin,,Retiro,-34.59738,-58.37354,Entire home/apt,9859,60,0,,,1,308,0,
12824965,Hermoso depto con amenities,7786587,Maximiliano,,Recoleta,-34.59496,-58.3935,Entire home/apt,3000,28,0,,,49,325,0,
11790692,Cozy apartment with yard,10213548,Marion Y  Daniel,,Palermo,-34.59005,-58.43442,Entire home/apt,4683,1,99,2020-03-16,1.42,1,172,0,20328975851
12606651,38 sqmts Apartment with Amazing View,1554264,Recepcionistas,,Monserrat,-34.61199,-58.38153,Entire home/apt,3081,1,42,2022-05-31,0.58,3,339,8,
12826089,Hermoso depto pto madero,7786587,Maximiliano,,Puerto Madero,-34.61031,-58.3629,Entire home/apt,11091,28,0,,,49,364,0,
12606763,ESPECTACULAR DEPARTAMENTO !!!,68506633,Efrain,,Recoleta,-34.59312,-58.39438,Entire home/apt,25000,10,4,2017-02-17,0.06,1,365,0,
12826894,Hermoso depto de 1 dormitorio,7786587,Maximiliano,,San Nicolas,-34.6031,-58.39084,Entire home/apt,2465,28,0,,,49,350,0,
11792426,Studio with Amazing View in Palermo,52229568,Manuel,,Palermo,-34.57355,-58.4368,Entire home/apt,4929,3,84,2022-02-11,1.11,1,258,10,
12827792,Rustique Place,69397555,Lucila,,Retiro,-34.59478,-58.38302,Entire home/apt,4806,90,31,2017-08-12,0.44,1,363,0,
11800499,Hermoso duplex de estilo industrial,58014401,Renata,,Colegiales,-34.57027,-58.45766,Entire home/apt,3697,6,47,2022-05-26,0.62,1,154,7,
11845450,"Beautiful apartment in San Telmo,BA",8836659,Lea,,San Telmo,-34.61812,-58.36857,Entire home/apt,4313,2,92,2022-06-15,1.27,1,334,15,
12607863,PREMIUM LUXURY APARMENT 148m2,68426898,Dante,,Puerto Madero,-34.61347,-58.36237,Entire home/apt,30808,7,6,2020-02-09,0.09,1,0,0,
12628189,===== Sunny Top Floor & Private Terrace =====,66582759,Mario,,Villa Urquiza,-34.56963,-58.48635,Entire home/apt,3247,21,11,2022-01-21,0.17,1,186,2,
12828085,Excelent View & Location in Palermo,31935461,Andrés,,Palermo,-34.58204,-58.4022,Entire home/apt,6162,2,2,2022-06-19,0.03,1,364,1,
12654383,Apartment in the heart of Palermo SoHo-PzaSerrano,68155594,Guillermo,,Palermo,-34.58483,-58.4242,Entire home/apt,5056,3,70,2022-05-25,0.96,1,212,16,
11848799,Depto para 4 pax en PALERMO SOHO..,49480723,Delia Concepcion,,Palermo,-34.58865,-58.43392,Entire home/apt,8626,2,4,2022-05-01,0.07,34,334,2,
12829141,"Best Location of Palermo Park View, Available!",70008213,Gastón,,Palermo,-34.57606,-58.42033,Entire home/apt,4929,3,55,2022-02-04,0.74,1,199,5,
11861885,Espacioso apartamento para 6 personas en el Centro,3469227,Federico,,San Nicolas,-34.6064,-58.38714,Entire home/apt,16020,3,4,2022-06-05,0.10,131,327,3,
11862925,Palermo Plaza Serrano,31143670,Wolfgang,,Palermo,-34.58798,-58.42872,Private room,6162,6,7,2017-10-24,0.09,2,21,0,
13216578,Comodo Apartamento en Buenos Aires,55553719,For Rent Argentina,,San Nicolas,-34.60273,-58.38223,Entire home/apt,5053,5,0,,,118,294,0,
12833550,Sunny and neat Studio in Recoleta,6519137,Catalina,,Recoleta,-34.59538,-58.39549,Entire home/apt,6162,180,1,2016-06-21,0.01,1,364,0,
13218155,Apartamento en Recoleta - Buenos Aires,55553719,For Rent Argentina,,Recoleta,-34.59247,-58.39493,Entire home/apt,5792,3,0,,,118,294,0,
12833940,SOLER APARTMENTS II,10832119,Ari,,Palermo,-34.57973,-58.43535,Entire home/apt,3908,2,193,2022-05-29,2.61,37,359,38,
11863914,Puerto Madero view and pool. Modern appartment.,56090170,Diego Y Verónica,,San Telmo,-34.61754,-58.36863,Entire home/apt,29928,3,33,2020-03-02,0.52,1,81,0,
12842912,Palermo Hollywood Luxury tower - Modern & Elegant,48164656,Syl,,Palermo,-34.58176,-58.43233,Entire home/apt,14788,7,5,2022-01-25,0.08,20,87,2,
11864656,Studio luminoso impecable y chic (I),31919158,Laura,,Belgrano,-34.56456,-58.45531,Entire home/apt,7024,2,47,2022-04-01,0.81,4,154,10,
13220930,Sunny Apt in center of BA,35317516,Silvina,,Balvanera,-34.61351,-58.39348,Entire home/apt,3820,1,97,2022-05-23,1.35,2,53,18,
13221166,Departamento luminoso y hermoso,45829930,Lilian,,Almagro,-34.60789,-58.41965,Entire home/apt,8351,30,2,2018-08-07,0.03,1,352,0,1565451189
12852052,Spectacular and New - Palermo Soho,24715479,Gwenole,,Palermo,-34.58114,-58.42458,Entire home/apt,9735,1,1,2016-05-24,0.01,19,294,0,
11866342,Depto frente facultad de veterinaria UBA,63257171,Sergio,,Villa Del Parque,-34.59916,-58.48222,Entire home/apt,4067,2,20,2021-12-26,0.46,2,335,1,
12863544,Duplex moderno con balcón c/ parrilla zona Rosedal,70321327,Alexis,,Palermo,-34.57519,-58.42189,Entire home/apt,4313,7,1,2022-02-26,0.26,1,114,1,
11888348,Beautiful and cozy apartment in San Telmo BA,6258209,Dafne,,Constitucion,-34.62407,-58.37828,Entire home/apt,3310,1,29,2019-03-20,0.42,1,51,0,
13223208,Alquiler Loft San Telmo,74196810,Rental,,Monserrat,-34.61255,-58.37225,Entire home/apt,16020,7,0,,,1,178,0,
