id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42195554,Edificio Victoria Condesa Depto 2,214812414,Eduardo,,Cuauhtémoc,19.41472,-99.17453,Entire home/apt,1425,2,43,2022-06-16,1.50,4,302,35,
41932690,Privileged location in the heart of Mexico City.,76026871,Isa,,Cuauhtémoc,19.43728,-99.1288,Entire home/apt,800,2,12,2022-05-28,0.42,1,156,8,
42063652,CDMX T4 Luxe 6BR Flat in the heart of LA CONDESA,179800202,BnButler,,Cuauhtémoc,19.41339,-99.17357,Entire home/apt,10818,3,22,2022-06-12,1.44,39,220,21,
42279821,SUITE CLEAN Jacuzzi &Pool  Ciudad de México,130500890,Livane,,Cuauhtémoc,19.42554,-99.17144,Entire home/apt,1120,1,51,2022-06-09,1.80,17,233,16,
42196645,Bonito dep completamente remodelado en Tlalpan,113139883,Veronica,,Tlalpan,19.27844,-99.16597,Entire home/apt,1100,1,37,2022-05-01,1.29,2,80,13,
42070528,CASA ZAPATA CONDESA /^^^^^\,14731381,Alejandro,,Cuauhtémoc,19.41238,-99.1715,Private room,796,1,26,2022-06-01,0.93,6,347,22,
42280462,Habitación en Coyoacán con baño privado,300805075,Ivonne,,Coyoacán,19.3465,-99.14506,Private room,280,1,14,2021-01-27,0.52,4,1,0,
42281665,Hermosa vista con roof garden 10mins de Santa Fe,189923405,Cecilia,,Álvaro Obregón,19.33744,-99.24144,Entire home/apt,1300,3,2,2021-08-08,0.09,1,108,1,
42071780,Habitación tranquila y luminosa - Escandón,333515443,Susana,,Miguel Hidalgo,19.40234,-99.17387,Private room,650,2,3,2022-04-04,0.10,1,179,1,
42281739,Recámara Amplia,186587028,Alejandra,,Benito Juárez,19.38303,-99.14721,Private room,203,30,0,,,1,179,0,
42290306,GLAM & SHINE Penthouse VIEW OF CDMX 7PAX/3BD,387195495,Daniela,,Miguel Hidalgo,19.43975,-99.17711,Entire home/apt,4238,1,50,2022-06-08,1.77,11,152,38,
42196708,"Se renta Lindo Departamento, en muy buena zona.",335044087,Santi,,Tlalpan,19.28455,-99.22962,Private room,800,1,1,2020-03-07,0.04,1,180,0,
42196912,TRAVEL and WORKING,334319427,Armando,,Cuauhtémoc,19.40831,-99.13707,Private room,400,1,2,2020-03-16,0.07,2,0,0,
42071869,Puente de Piedra 8,274570857,Raul,,Tlalpan,19.2953,-99.16405,Entire home/apt,560,3,13,2022-04-30,0.46,4,321,3,
42196976,"Room - Cerca el AICM, Foro sol",101238140,Jill,,Venustiano Carranza,19.42227,-99.10448,Private room,450,2,15,2022-05-26,0.53,1,352,10,
42291770,Pequeño departamento confortable,306479584,Gaby,,Gustavo A. Madero,19.45356,-99.11067,Entire home/apt,426,5,7,2022-01-01,0.25,2,108,3,
42073372,Habitación en Colonia Roma Norte.,16481347,Alfredo,,Cuauhtémoc,19.42118,-99.15971,Private room,500,2,2,2020-03-15,0.07,1,89,0,
42292047,Apartament beauty and quiet!,177827123,Ale,,Benito Juárez,19.36676,-99.15091,Entire home/apt,490,4,11,2022-02-15,0.39,1,19,8,
42197833,Jardín Roma: Two spaces with an amazing terrace,72969330,The Local Way,,Cuauhtémoc,19.420294,-99.160355,Entire home/apt,3640,1,59,2022-06-13,3.21,20,128,35,
42201237,Casa Liverpool-roomview Tree 5 min walking Reforma,83095336,Alonso,,Cuauhtémoc,19.42799,-99.15645,Private room,450,2,17,2022-04-27,0.60,3,65,13,
42074716,Recámara en Departamento Galería,177659053,Marco,,Miguel Hidalgo,19.41948,-99.1801,Private room,300,2,2,2020-02-29,0.07,1,0,0,
42201652,Cabañita,330629111,Alfonso,,Tlalpan,19.19936,-99.14294,Entire home/apt,600,1,4,2022-03-26,0.25,4,90,3,
42202314,Beautiful Loft Apartment,132484396,Paola,,Benito Juárez,19.396215,-99.166595,Entire home/apt,619,2,122,2022-06-12,4.30,3,313,49,
42293535,recamara en condominio popotla,335011228,Claudia,,Miguel Hidalgo,19.45672,-99.17562,Private room,200,1,1,2020-02-27,0.04,1,90,0,
42293949,"Modern Apartment in Santa Fe, Mexico city",47949115,Diego,,Cuajimalpa de Morelos,19.35536,-99.27548,Entire home/apt,2983,4,15,2022-06-16,0.78,1,107,8,
42294747,Habitación inmejorable en la mejor zona,336112619,Laura,,Cuajimalpa de Morelos,19.38601,-99.26292,Private room,450,2,0,,,1,180,0,
42076178,Nuevo y Moderno. Cuenta con Gym y Estacionamiento.,49461776,Luis,,Benito Juárez,19.37364,-99.16308,Entire home/apt,1050,1,9,2020-03-31,0.32,3,92,0,
42296415,Tu depa al sur de CDMX,38396573,Edgar Eduardo,,Coyoacán,19.30567,-99.10917,Entire home/apt,400,1,0,,,1,84,0,
42296890,Habitacion céntrica en apartamento nuevo,53598288,Marco,,Benito Juárez,19.38522,-99.14545,Private room,250,30,0,,,2,365,0,
42203155,Eco apartamento ideal para estancia docente larga.,145847942,Adriana,,Benito Juárez,19.37175,-99.18224,Entire home/apt,2000,7,0,,,1,67,0,
42203693,(3) Stay right next to CHAPULTEPEC PARK & CONDESA,307888271,Neos,,Miguel Hidalgo,19.41888,-99.18016,Entire home/apt,1323,3,35,2022-06-06,1.27,8,143,27,
42077885,Beautiful GREEN apartment balcony Condesa BEST LOC,10535493,Mauricio,,Cuauhtémoc,19.4118,-99.17757,Entire home/apt,1713,2,14,2022-05-29,0.49,2,176,10,
42087997,4 bdr Penthouse Condesa Park,261857354,Mr. W,,Cuauhtémoc,19.40981,-99.16866,Entire home/apt,12116,2,16,2022-05-30,1.62,44,287,16,
42204609,"Mi KSITA cerca Palacio Deportes, Autódromo, AICDMX",107472258,LiLia,,Iztacalco,19.38857,-99.06435,Entire home/apt,1000,1,4,2022-04-05,0.14,1,8,1,
42204662,Moderno departamento a 5 min caminando del AICM,161012991,Ximena,,Venustiano Carranza,19.43492,-99.08936,Entire home/apt,1293,1,95,2022-05-27,3.44,1,253,72,
42204728,(4) Few steps away from La Condesa & Chapultepec!,307888271,Neos,,Cuauhtémoc,19.41761,-99.17823,Entire home/apt,1311,3,25,2022-03-13,0.89,8,157,14,
